Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
27/01/2024,Wolfsburg,FC Koln,1,1,D,12,6,5,2,1.83,3.75,4.2,2023-24,Bundesliga,D1
27/01/2024,Leverkusen,M'gladbach,0,0,D,28,4,8,3,1.29,5.5,10.0,2023-24,Bundesliga,D1
28/01/2024,Union Berlin,Darmstadt,1,0,H,19,15,6,1,1.62,3.8,5.75,2023-24,Bundesliga,D1
28/01/2024,Dortmund,Bochum,3,1,H,15,10,6,4,1.36,5.5,7.5,2023-24,Bundesliga,D1
02/02/2024,Heidenheim,Dortmund,0,0,D,11,13,0,5,3.75,4.5,1.8,2023-24,Bundesliga,D1
03/02/2024,Bayern Munich,M'gladbach,3,1,H,21,11,6,4,1.14,9.5,13.0,2023-24,Bundesliga,D1
03/02/2024,Bochum,Augsburg,1,1,D,9,12,4,6,2.15,3.4,3.4,2023-24,Bundesliga,D1
03/02/2024,Darmstadt,Leverkusen,0,2,A,8,18,6,7,9.5,6.5,1.25,2023-24,Bundesliga,D1
03/02/2024,Freiburg,Stuttgart,1,3,A,7,17,4,9,3.1,3.6,2.2,2023-24,Bundesliga,D1
03/02/2024,Mainz,Werder Bremen,0,1,A,20,6,5,1,2.1,3.5,3.5,2023-24,Bundesliga,D1
03/02/2024,FC Koln,Ein Frankfurt,2,0,H,14,11,4,4,3.25,3.4,2.2,2023-24,Bundesliga,D1
04/02/2024,Wolfsburg,Hoffenheim,2,2,D,14,17,8,7,2.1,3.75,3.2,2023-24,Bundesliga,D1
04/02/2024,RB Leipzig,Union Berlin,2,0,H,16,10,6,2,1.4,5.0,7.5,2023-24,Bundesliga,D1
07/02/2024,Mainz,Union Berlin,1,1,D,16,15,7,4,2.15,3.3,3.5,2023-24,Bundesliga,D1
09/02/2024,Dortmund,Freiburg,3,0,H,17,6,8,3,1.45,4.75,6.5,2023-24,Bundesliga,D1
10/02/2024,Augsburg,RB Leipzig,2,2,D,11,9,4,6,4.0,4.2,1.75,2023-24,Bundesliga,D1
10/02/2024,Ein Frankfurt,Bochum,1,1,D,8,14,2,5,1.73,3.8,4.75,2023-24,Bundesliga,D1
10/02/2024,M'gladbach,Darmstadt,0,0,D,22,10,8,1,1.6,4.5,5.0,2023-24,Bundesliga,D1
10/02/2024,Union Berlin,Wolfsburg,1,0,H,7,15,2,5,2.25,3.4,3.2,2023-24,Bundesliga,D1
10/02/2024,Werder Bremen,Heidenheim,1,2,A,14,10,3,3,1.8,3.8,4.33,2023-24,Bundesliga,D1
10/02/2024,Leverkusen,Bayern Munich,3,0,H,14,8,8,1,2.63,3.8,2.4,2023-24,Bundesliga,D1
11/02/2024,Stuttgart,Mainz,3,1,H,10,16,7,6,1.44,4.5,7.5,2023-24,Bundesliga,D1
11/02/2024,Hoffenheim,FC Koln,1,1,D,10,5,4,1,1.8,3.8,4.33,2023-24,Bundesliga,D1
16/02/2024,FC Koln,Werder Bremen,0,1,A,10,13,2,4,2.4,3.4,2.88,2023-24,Bundesliga,D1
17/02/2024,Darmstadt,Stuttgart,1,2,A,21,13,9,4,6.5,4.75,1.44,2023-24,Bundesliga,D1
17/02/2024,Heidenheim,Leverkusen,1,2,A,6,17,3,4,8.0,5.75,1.33,2023-24,Bundesliga,D1
17/02/2024,Hoffenheim,Union Berlin,0,1,A,16,10,4,3,2.0,3.6,3.6,2023-24,Bundesliga,D1
17/02/2024,Mainz,Augsburg,1,0,H,19,10,4,4,2.0,3.5,3.8,2023-24,Bundesliga,D1
17/02/2024,Wolfsburg,Dortmund,1,1,D,9,12,4,5,3.2,3.8,2.1,2023-24,Bundesliga,D1
17/02/2024,RB Leipzig,M'gladbach,2,0,H,16,13,9,0,1.36,5.5,7.0,2023-24,Bundesliga,D1
18/02/2024,Freiburg,Ein Frankfurt,3,3,D,13,10,8,6,2.3,3.4,3.1,2023-24,Bundesliga,D1
18/02/2024,Bochum,Bayern Munich,3,2,H,14,26,5,10,8.0,5.75,1.33,2023-24,Bundesliga,D1
23/02/2024,Leverkusen,Mainz,2,1,H,18,13,7,4,1.22,6.5,13.0,2023-24,Bundesliga,D1
24/02/2024,M'gladbach,Bochum,5,2,H,22,15,6,5,2.0,3.8,3.5,2023-24,Bundesliga,D1
24/02/2024,Stuttgart,FC Koln,1,1,D,13,12,5,6,1.3,5.25,10.0,2023-24,Bundesliga,D1
24/02/2024,Union Berlin,Heidenheim,2,2,D,12,9,3,4,2.0,3.5,3.75,2023-24,Bundesliga,D1
24/02/2024,Werder Bremen,Darmstadt,1,1,D,13,11,4,3,1.65,4.2,5.0,2023-24,Bundesliga,D1
24/02/2024,Bayern Munich,RB Leipzig,2,1,H,16,11,4,5,1.67,4.33,4.5,2023-24,Bundesliga,D1
25/02/2024,Ein Frankfurt,Wolfsburg,2,2,D,12,14,5,8,2.25,3.4,3.2,2023-24,Bundesliga,D1
25/02/2024,Dortmund,Hoffenheim,2,3,A,19,7,7,5,1.5,5.0,5.5,2023-24,Bundesliga,D1
25/02/2024,Augsburg,Freiburg,2,1,H,21,5,8,1,2.2,3.6,3.1,2023-24,Bundesliga,D1
01/03/2024,Freiburg,Bayern Munich,2,2,D,17,21,5,9,5.75,4.75,1.5,2023-24,Bundesliga,D1
02/03/2024,Bochum,RB Leipzig,1,4,A,15,10,4,4,5.0,4.2,1.62,2023-24,Bundesliga,D1
02/03/2024,Darmstadt,Augsburg,0,6,A,10,21,5,6,2.9,3.3,2.4,2023-24,Bundesliga,D1
02/03/2024,Heidenheim,Ein Frankfurt,1,2,A,16,11,3,6,2.8,3.3,2.5,2023-24,Bundesliga,D1
02/03/2024,Mainz,M'gladbach,1,1,D,21,14,5,5,1.91,3.75,3.75,2023-24,Bundesliga,D1
02/03/2024,Union Berlin,Dortmund,0,2,A,13,12,5,7,3.4,3.6,2.05,2023-24,Bundesliga,D1
02/03/2024,Wolfsburg,Stuttgart,2,3,A,12,7,2,3,3.3,3.5,2.15,2023-24,Bundesliga,D1
03/03/2024,FC Koln,Leverkusen,0,2,A,6,17,0,6,9.0,4.75,1.36,2023-24,Bundesliga,D1
03/03/2024,Hoffenheim,Werder Bremen,2,1,H,14,18,7,8,1.91,4.0,3.6,2023-24,Bundesliga,D1
08/03/2024,Stuttgart,Union Berlin,2,0,H,14,10,5,4,1.45,4.5,7.0,2023-24,Bundesliga,D1
09/03/2024,Augsburg,Heidenheim,1,0,H,8,6,4,1,1.85,4.2,3.5,2023-24,Bundesliga,D1
09/03/2024,Bayern Munich,Mainz,8,1,H,25,13,12,3,1.25,7.0,10.0,2023-24,Bundesliga,D1
